Control ,Demography/Community,Demography/Respondent-Sex,Demography/Respondent-age,Demography/Status,Demography/highest_education,HH-Composition/hhsize,HH-Composition/no_male,HH-Composition/no_female,HH-Composition/no-infants,HH-Composition/children-under6-months,HH-Composition/children-6-23months,HH-Composition/children-24-59months,HH-Composition/First-child-age,AGE of CHILD,HH-Composition/First-child-MUAC,MUAC,HH-Composition/orphan,HH-Composition/no-elderly-people1,HH-Composition/lactating_women,HH-Composition/0-lactating_women,HH-Composition/pregnant_woman,HH-Composition/chronicall-ill,HH-Composition/no-chronicall-ill-person,HH-Composition/disability,HH-Composition/physically_challenge,HH-Composition/no-physically_challenged,HH-Composition/woman,HH-Composition/reproductive_woman,FCS Categories,hhs/Calculated_HHS,RCSI/RCSI
1,Kachala-Burari-Kura,Female,80,idp,No-Formal education,3,1,2,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,0,0,0,1,0,Poor,Moderate Hunger,23
0,Kachala-Burari-Gana,Male,36,host,No-Formal education,9,5,4,2,1,1,0,6,0-6,12.5,11.5-12.5,0,1,1,1,0,0,0,1,1,0,1,1,Poor,Moderate Hunger,18
1,Damboa-Central,Male,42,idp,Senior-Secondary,5,3,2,3,0,1,2,24,24-59,12.3,11.5-12.5,1,1,1,1,0,0,0,1,1,0,1,1,Poor,Moderate Hunger,31
0,Damboa-Central,Male,40,idp,No-Formal education,6,3,3,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,0,0,0,0,0,1,1,Borderline,Moderate Hunger,6
0,Damboa-Central,Male,30,idp,No-Formal education,5,1,4,2,1,0,1,12,6-23,13.5,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,13
1,Damboa-Central,Female,35,idp,No-Formal education,11,5,6,3,1,1,1,13,6-23,13.5,>12.5,1,1,1,1,0,1,1,2,2,2,1,1,Borderline,Little to no hunger,15
1,Damboa-Central,Male,65,returnee,No-Formal education,4,2,2,0,0,0,0,0,0-6,0,<11.5,0,2,0,0,0,1,1,2,1,0,1,1,Poor,Severe Hunger,38
0,Kachala-Burari-Gana,Male,45,returnee,No-Formal education,8,2,6,3,1,1,1,6,0-6,13.5,>12.5,0,1,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,34
0,Kachala-Burari-Gana,Male,50,idp,No-Formal education,5,2,3,2,1,1,0,6,0-6,12.5,11.5-12.5,1,0,0,0,0,0,0,0,0,0,0,0,Borderline,Moderate Hunger,14
0,Kachala-Burari-Gana,Male,37,host,No-Formal education,4,3,1,2,0,0,2,24,24-59,13.3,>12.5,0,0,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,13
1,Damboa-Central,Male,40,returnee,No-Formal education,7,4,3,3,1,1,1,6,0-6,13.4,>12.5,0,2,1,1,0,0,0,1,1,0,1,1,Borderline,Moderate Hunger,10
1,Damboa-Central,Male,56,returnee,Higher-Education,15,4,11,1,0,1,0,12,6-23,12.5,11.5-12.5,1,3,1,1,0,0,0,0,0,0,0,0,Poor,Moderate Hunger,36
1,Kachala-Burari-Gana,Male,60,idp,No-Formal education,7,4,3,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,1,1,0,1,0,Poor,Moderate Hunger,9
1,Kachala-Burari-Gana,Female,50,returnee,Primary,4,2,2,1,0,0,1,58,24-59,17.3,>12.5,1,3,0,0,0,0,0,0,0,0,1,0,Poor,Moderate Hunger,15
0,Damboa-Central,Female,50,returnee,Primary,9,4,5,4,1,1,2,6,0-6,13.5,>12.5,1,0,1,1,0,0,0,2,1,0,1,1,Borderline,Moderate Hunger,2
0,Kachala-Burari-Gana,Male,35,idp,No-Formal education,5,2,3,2,0,2,0,7,6-23,14.2,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Little to no hunger,0
0,Kachala-Burari-Gana,Male,60,idp,No-Formal education,4,2,2,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,1,1,0,1,0,Poor,Little to no hunger,12
1,Damboa-Central,Female,34,returnee,No-Formal education,6,3,3,2,1,0,1,6,0-6,12.5,11.5-12.5,0,0,1,1,0,0,0,2,1,0,1,1,Poor,Moderate Hunger,23
1,Kachala-Burari-Gana,Male,53,returnee,Primary,9,5,4,1,1,0,0,0,0-6,0,<11.5,0,0,0,0,1,0,0,1,1,0,0,0,Acceptable,Moderate Hunger,26
1,Kachala-Burari-Gana,Male,40,idp,No-Formal education,12,8,4,1,1,0,0,0,0-6,0,<11.5,0,1,1,2,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,2
1,Kachala-Burari-Kura,Male,30,idp,No-Formal education,3,2,1,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,14
1,Damboa-Central,Female,30,returnee,Senior-Secondary,5,2,3,3,0,1,2,12,6-23,13.4,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,10
1,Damboa-Central,Male,50,host,Senior-Secondary,11,7,4,3,0,1,2,12,6-23,14.5,>12.5,0,0,1,1,0,0,0,1,1,0,1,1,Borderline,Moderate Hunger,5
0,Damboa-Central,Male,48,idp,No-Formal education,9,5,4,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,5
1,Damboa-Central,Male,50,idp,No-Formal education,11,5,6,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,12
1,Damboa-Central,Male,32,idp,Higher-Education,7,3,4,5,1,1,3,6,0-6,12.5,11.5-12.5,0,0,1,1,0,0,0,0,0,0,0,0,Poor,Moderate Hunger,32
0,Kachala-Burari-Gana,Male,55,idp,No-Formal education,14,7,7,3,1,1,1,12,6-23,11.1,<11.5,1,1,1,2,0,0,0,0,0,0,0,0,Poor,Moderate Hunger,12
1,Kachala-Burari-Gana,Female,50,idp,No-Formal education,5,3,2,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Little to no hunger,10
0,Abatchari,Male,50,idp,No-Formal education,12,5,7,3,1,1,1,6,0-6,14.5,>12.5,0,1,1,1,1,0,0,0,0,0,1,1,Acceptable,Little to no hunger,13
1,Shuwari,Male,50,idp,No-Formal education,5,3,2,1,0,1,0,6,0-6,13,>12.5,0,1,1,1,0,0,0,2,1,0,1,1,Poor,Moderate Hunger,18
0,Shuwari,Female,40,host,No-Formal education,3,2,1,1,0,0,1,49,24-59,15,>12.5,0,0,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,17
1,Abatchari,Female,60,returnee,No-Formal education,1,0,1,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,0,0,0,2,1,0,0,0,Borderline,Little to no hunger,0
1,Kachala-Burari-Kura,Male,45,returnee,No-Formal education,3,2,1,1,0,0,1,23,6-23,12.6,>12.5,0,0,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,15
0,Abatchari,Male,30,idp,No-Formal education,5,3,2,2,1,0,1,6,0-6,12.5,11.5-12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,10
1,Damboa-Central,Female,60,returnee,No-Formal education,10,8,2,1,0,0,1,56,24-59,13.6,>12.5,1,1,0,0,0,0,0,0,0,0,1,0,Borderline,Moderate Hunger,13
1,Kachala-Burari-Kura,Male,40,returnee,No-Formal education,11,3,8,3,0,2,1,18,6-23,13.5,>12.5,0,0,0,0,1,1,1,0,0,0,0,0,Borderline,Moderate Hunger,26
0,Kachala-Burari-Kura,Male,48,returnee,No-Formal education,7,4,3,2,1,0,1,30,24-59,14.5,>12.5,1,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,20
1,Kachala-Burari-Kura,Male,35,returnee,No-Formal education,4,2,2,1,0,0,1,36,24-59,15,>12.5,0,0,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,16
0,Abatchari,Male,25,idp,No-Formal education,7,3,4,3,1,1,1,6,0-6,12,11.5-12.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,6
1,Damboa-Central,Female,75,idp,No-Formal education,4,2,2,2,0,0,2,38,24-59,12.8,>12.5,1,1,0,0,0,1,1,1,1,0,0,0,Borderline,Moderate Hunger,13
1,Damboa-Central,Male,30,returnee,No-Formal education,4,3,1,2,1,0,1,6,0-6,14.5,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Little to no hunger,3
1,Kachala-Burari-Gana,Male,40,idp,No-Formal education,6,3,3,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,1,1,Borderline,Severe Hunger,0
1,Damboa-Central,Male,41,returnee,No-Formal education,8,2,6,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Severe Hunger,20
1,Kachala-Burari-Gana,Male,45,returnee,No-Formal education,9,5,4,1,0,1,0,24,24-59,15.3,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Poor,Moderate Hunger,31
1,Damboa-Central,Male,40,returnee,No-Formal education,8,2,6,3,1,1,1,6,0-6,12.3,11.5-12.5,0,0,1,1,0,0,0,1,1,0,1,1,Borderline,Little to no hunger,5
0,Kachala-Burari-Gana,Male,35,returnee,No-Formal education,8,3,5,2,0,1,1,22,6-23,12.6,>12.5,0,1,1,1,0,0,0,1,1,0,1,1,Borderline,Little to no hunger,12
0,Damboa-Central,Female,30,returnee,No-Formal education,7,5,2,3,0,1,2,12,6-23,13.5,>12.5,0,0,1,1,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,9
1,Damboa-Central,Female,52,idp,No-Formal education,3,1,2,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,1,1,0,1,0,Borderline,Moderate Hunger,13
0,Damboa-Central,Male,40,idp,No-Formal education,8,4,4,3,0,1,2,18,6-23,12.8,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,16
1,Kachala-Burari-Gana,Male,60,host,No-Formal education,7,5,2,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,0,0,Acceptable,Moderate Hunger,1
1,Abatchari,Male,30,returnee,No-Formal education,5,1,4,2,0,1,1,10,6-23,14.2,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Poor,Moderate Hunger,19
1,Shuwari,Male,50,host,Senior-Secondary,7,4,3,3,1,1,1,6,0-6,13,>12.5,1,1,1,1,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,24
1,Damboa-Central,Male,42,returnee,No-Formal education,4,2,2,1,0,1,0,36,24-59,12.4,11.5-12.5,0,0,1,1,0,0,0,1,1,0,1,1,Poor,Moderate Hunger,29
1,Damboa-Central,Male,42,returnee,Senior-Secondary,9,4,5,3,1,1,1,6,0-6,12.5,11.5-12.5,0,1,1,1,0,0,0,1,1,0,1,1,Poor,Severe Hunger,26
1,Kachala-Burari-Gana,Male,35,returnee,No-Formal education,5,3,2,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,12
1,Damboa-Central,Male,50,returnee,No-Formal education,11,5,6,3,1,1,1,6,0-6,14.3,>12.5,1,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,7
0,Kachala-Burari-Gana,Male,35,returnee,No-Formal education,6,2,4,0,0,0,0,0,0-6,0,<11.5,1,3,1,1,0,1,2,5,4,4,0,0,Borderline,Moderate Hunger,42
1,Kachala-Burari-Gana,Male,55,returnee,No-Formal education,9,4,5,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,1,0,Poor,Moderate Hunger,9
1,Kachala-Burari-Kura,Male,31,idp,No-Formal education,10,4,6,1,0,0,1,28,24-59,13.5,>12.5,0,0,1,1,0,1,1,0,0,0,1,1,Borderline,Little to no hunger,0
1,Kachala-Burari-Gana,Male,35,idp,No-Formal education,7,3,4,2,1,0,1,6,0-6,13.2,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Little to no hunger,2
0,Alkaleri,Male,40,returnee,Senior-Secondary,10,3,7,4,1,1,2,36,24-59,16,>12.5,0,1,1,1,0,0,0,1,2,2,1,1,Borderline,Little to no hunger,10
1,Damboa-Central,Female,30,idp,Senior-Secondary,5,2,3,3,0,0,3,48,24-59,12.5,11.5-12.5,1,1,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,23
0,Damboa-Central,Female,50,idp,No-Formal education,4,3,1,2,0,0,2,45,24-59,13.5,>12.5,1,0,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,16
0,Damboa-Central,Female,33,idp,No-Formal education,8,3,5,2,1,0,1,6,0-6,13.2,>12.5,1,1,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,17
1,Damboa-Central,Male,57,idp,No-Formal education,6,3,3,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,7
1,Kachala-Burari-Kura,Male,30,host,Senior-Secondary,6,4,2,2,0,1,1,23,6-23,13.5,>12.5,0,1,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,10
1,Shuwari,Female,40,idp,No-Formal education,7,3,4,0,0,0,0,0,0-6,0,<11.5,1,0,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,17
1,Shuwari,Female,40,idp,No-Formal education,5,3,2,1,0,0,1,49,24-59,15,>12.5,1,4,0,0,0,0,0,0,0,0,1,1,Poor,Severe Hunger,39
1,Shuwari,Male,35,idp,No-Formal education,6,2,4,3,1,0,2,18,6-23,13,>12.5,0,0,1,1,0,1,1,1,1,0,1,1,Borderline,Moderate Hunger,17
0,Abatchari,Male,30,idp,Primary,4,2,2,2,1,0,1,6,0-6,13,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Acceptable,Little to no hunger,7
0,Kachala-Burari-Kura,Male,42,idp,No-Formal education,6,3,3,2,1,1,0,16,6-23,13.5,>12.5,0,1,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,18
0,Shuwari,Male,45,returnee,No-Formal education,8,3,5,2,0,1,1,24,24-59,12,11.5-12.5,0,0,0,0,0,0,0,0,0,0,1,1,Acceptable,Little to no hunger,0
1,Kachala-Burari-Kura,Female,40,returnee,No-Formal education,4,2,2,1,0,0,1,23,6-23,12.5,11.5-12.5,0,1,1,1,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,16
1,Damboa-Central,Female,30,returnee,No-Formal education,9,4,5,3,0,1,2,10,6-23,12.8,>12.5,0,0,1,1,0,1,1,1,1,0,1,1,Poor,Moderate Hunger,13
1,Abatchari,Male,35,returnee,Junior-Secondary,8,4,4,2,0,0,2,24,24-59,15.2,>12.5,0,0,0,0,1,0,0,0,0,0,1,1,Borderline,Moderate Hunger,11
1,Kachala-Burari-Kura,Male,43,returnee,Primary,13,7,6,3,2,0,1,48,24-59,13.5,>12.5,0,1,1,2,0,1,1,0,0,0,1,1,Poor,Moderate Hunger,27
1,Kachala-Burari-Kura,Male,45,returnee,No-Formal education,8,4,4,2,0,1,1,21,6-23,13.5,>12.5,0,0,0,0,0,0,0,0,0,0,1,1,Borderline,Little to no hunger,19
1,Damboa-Central,Male,39,host,No-Formal education,5,2,3,2,1,0,1,30,24-59,12.5,11.5-12.5,0,0,0,0,1,1,1,1,1,0,1,1,Poor,Moderate Hunger,32
1,Kachala-Burari-Gana,Male,40,returnee,Primary,10,4,6,2,1,0,1,6,0-6,13.7,>12.5,1,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,12
1,Damboa-Central,Female,50,returnee,Higher-Education,5,3,2,1,0,0,1,59,24-59,15.2,>12.5,0,1,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,5
1,Damboa-Central,Male,25,idp,Senior-Secondary,2,1,1,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,0,0,0,0,0,1,1,Borderline,Moderate Hunger,5
1,Damboa-Central,Female,48,idp,No-Formal education,7,5,2,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,10
1,Damboa-Central,Male,70,idp,No-Formal education,34,12,22,12,2,2,8,6,0-6,12.5,11.5-12.5,1,2,1,4,1,0,0,2,3,3,1,1,Poor,Moderate Hunger,9
1,Wuyaram,Male,60,returnee,No-Formal education,12,4,8,5,2,2,1,7,6-23,11,<11.5,0,0,1,2,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,27
0,Wuyaram,Male,60,host,No-Formal education,2,1,1,0,0,0,0,0,0-6,0,<11.5,1,2,0,0,0,1,1,1,1,0,0,0,Borderline,Moderate Hunger,18
0,Aburi,Male,35,idp,No-Formal education,5,2,3,3,1,1,1,8,6-23,12.8,>12.5,0,0,1,1,0,1,1,1,1,0,1,1,Poor,Moderate Hunger,16
1,Aburi,Male,45,idp,Higher-Education,6,4,2,2,1,0,1,7,6-23,13.4,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,12
1,Wuyaram,Male,40,idp,No-Formal education,7,3,4,2,1,1,0,34,24-59,14,>12.5,0,0,1,1,1,0,0,0,0,0,1,1,Acceptable,Moderate Hunger,12
1,Wuyaram,Male,45,idp,No-Formal education,2,1,1,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,18
1,Wuyaram,Female,50,returnee,No-Formal education,4,3,1,2,0,0,2,32,24-59,14,>12.5,0,0,0,0,0,0,0,0,0,0,1,0,Poor,Moderate Hunger,29
1,Wuyaram,Male,45,returnee,Senior-Secondary,9,3,6,3,0,2,1,12,6-23,12.5,11.5-12.5,1,0,1,1,0,0,0,1,1,0,1,1,Borderline,Moderate Hunger,17
0,Wuyaram,Female,60,returnee,No-Formal education,5,3,2,3,1,1,1,6,0-6,12,11.5-12.5,0,0,1,1,0,0,0,1,1,0,1,1,Borderline,Moderate Hunger,19
1,Wuyaram,Male,44,idp,Senior-Secondary,2,1,1,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,1,1,1,1,0,1,1,Borderline,Moderate Hunger,17
1,Aburi,Male,60,idp,No-Formal education,7,3,4,1,0,0,1,56,24-59,13.5,>12.5,0,3,0,0,0,0,0,1,1,0,0,0,Borderline,Moderate Hunger,14
0,Aburi,Male,42,returnee,No-Formal education,6,3,3,2,1,1,0,16,6-23,14,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,9
1,Aburi,Male,40,idp,No-Formal education,7,4,3,3,1,1,1,13,6-23,12.8,>12.5,1,1,1,1,1,0,0,0,0,0,1,1,Borderline,Moderate Hunger,13
1,Alkaleri,Male,63,idp,No-Formal education,10,3,7,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,3,1,0,0,0,Acceptable,Little to no hunger,21
1,Alkaleri,Male,31,idp,Senior-Secondary,7,2,5,2,0,1,1,14,6-23,14,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,34
1,Alkaleri,Male,40,returnee,Higher-Education,13,8,5,3,0,1,2,48,24-59,15,>12.5,1,0,1,1,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,7
0,Alkaleri,Male,30,idp,No-Formal education,4,3,1,2,0,1,1,16,6-23,14,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Acceptable,Little to no hunger,6
1,Aburi,Female,55,idp,No-Formal education,5,3,2,3,1,1,1,12,6-23,13.8,>12.5,1,1,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,12
1,Alkaleri,Female,35,idp,No-Formal education,7,4,3,2,0,0,2,59,24-59,15,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,14
1,Alkaleri,Female,45,returnee,No-Formal education,5,3,2,2,0,1,1,36,24-59,15,>12.5,0,0,0,0,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,18
0,Alkaleri,Male,35,idp,No-Formal education,8,1,7,3,0,1,2,18,6-23,14,>12.5,0,1,1,1,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,35
0,Alkaleri,Female,33,returnee,No-Formal education,5,3,2,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,25
1,Alkaleri,Female,52,returnee,Higher-Education,7,4,3,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,0,0,0,1,1,0,0,0,Acceptable,Little to no hunger,13
1,Alkaleri,Male,52,returnee,Higher-Education,9,3,6,1,0,1,0,24,24-59,14,>12.5,1,1,0,0,0,0,0,1,1,0,0,0,Borderline,Little to no hunger,12
1,Alkaleri,Male,35,returnee,Senior-Secondary,5,2,3,3,1,1,1,36,24-59,14,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Acceptable,Little to no hunger,13
0,Shuwari,Female,35,idp,No-Formal education,5,2,3,1,0,1,0,24,24-59,17,>12.5,1,1,0,0,0,1,1,2,1,0,1,0,Poor,Moderate Hunger,10
1,Shuwari,Female,40,idp,No-Formal education,9,3,6,3,0,1,2,24,24-59,13.3,>12.5,1,0,1,1,1,0,0,0,0,0,1,1,Acceptable,Little to no hunger,2
0,Shuwari,Male,37,idp,Primary,10,5,5,4,1,1,2,24,24-59,13.5,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,25
1,Alkaleri,Male,45,idp,No-Formal education,17,5,12,5,2,1,2,48,24-59,14.5,>12.5,1,1,1,2,0,0,0,0,0,0,0,0,Acceptable,Little to no hunger,9
0,Alkaleri,Male,43,returnee,Senior-Secondary,8,4,4,2,1,0,1,36,24-59,16,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Little to no hunger,13
1,Shuwari,Male,40,idp,No-Formal education,9,5,4,4,1,2,1,6,0-6,11,<11.5,1,1,1,2,0,0,0,1,1,0,0,0,Poor,Moderate Hunger,34
0,Shuwari,Male,32,idp,No-Formal education,4,1,3,2,0,1,1,12,6-23,13,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,16
1,Shuwari,Male,40,returnee,No-Formal education,8,3,5,2,0,0,2,44,24-59,13.4,>12.5,0,1,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,18
0,Shuwari,Female,30,returnee,Senior-Secondary,10,4,6,4,1,1,2,23,6-23,13,>12.5,0,1,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,16
1,Shuwari,Male,36,idp,No-Formal education,10,3,7,2,0,0,2,30,24-59,12,11.5-12.5,0,1,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,18
0,Shuwari,Male,35,idp,Senior-Secondary,5,3,2,3,0,1,2,8,6-23,13,>12.5,0,0,0,0,0,0,0,1,1,0,1,1,Borderline,Moderate Hunger,25
0,Shuwari,Male,45,idp,No-Formal education,10,6,4,3,0,2,1,13,6-23,12.3,11.5-12.5,1,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,13
0,Shuwari,Male,38,idp,Primary,6,2,4,3,1,1,1,59,24-59,12,11.5-12.5,1,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,19
0,Shuwari,Male,60,idp,No-Formal education,6,4,2,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,16
0,Shuwari,Male,52,returnee,No-Formal education,15,9,6,4,1,1,2,11,6-23,13.5,>12.5,1,1,1,1,0,0,0,1,1,0,1,0,Borderline,Moderate Hunger,24
1,Alkaleri,Male,62,idp,Higher-Education,9,5,4,1,0,0,1,48,24-59,17.5,>12.5,0,2,0,0,0,1,1,2,1,0,0,0,Poor,Little to no hunger,31
0,Shuwari,Female,35,returnee,No-Formal education,8,4,4,3,1,1,1,23,6-23,14,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,13
0,Shuwari,Female,60,idp,No-Formal education,3,1,2,1,0,1,0,23,6-23,15,>12.5,0,1,0,0,0,0,0,0,0,0,1,0,Poor,Moderate Hunger,14
0,Alkaleri,Male,45,returnee,Primary,12,6,6,3,1,1,1,48,24-59,16,>12.5,1,1,1,1,0,0,0,1,1,0,1,1,Borderline,Little to no hunger,8
1,Alkaleri,Female,45,idp,No-Formal education,5,4,1,1,0,0,1,48,24-59,15,>12.5,0,0,0,0,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,17
0,Shuwari,Male,45,idp,No-Formal education,12,4,8,3,1,1,1,15,6-23,10,<11.5,1,0,1,2,0,0,0,0,0,0,1,1,Poor,Little to no hunger,0
1,Shuwari,Male,51,idp,Higher-Education,11,4,7,2,0,2,0,17,6-23,13,>12.5,1,0,1,1,0,0,0,1,1,0,0,0,Poor,Little to no hunger,21
0,Abatchari,Male,30,idp,No-Formal education,8,4,4,2,0,1,1,13,6-23,13.6,>12.5,1,0,1,1,0,0,0,0,0,0,1,1,Acceptable,Moderate Hunger,6
1,Shuwari,Male,40,idp,No-Formal education,6,3,3,2,0,0,2,24,24-59,17,>12.5,0,0,0,0,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,15
1,Abatchari,Male,54,idp,Primary,6,2,4,1,0,0,1,24,24-59,16,>12.5,0,1,0,0,1,0,0,0,0,0,0,0,Acceptable,Little to no hunger,6
1,Shuwari,Male,52,idp,No-Formal education,9,4,5,4,0,2,2,18,6-23,12.5,11.5-12.5,1,0,1,2,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,18
0,Shuwari,Male,40,idp,Primary,9,4,5,4,2,1,1,30,24-59,12,11.5-12.5,0,0,1,2,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,9
0,Shuwari,Male,60,idp,No-Formal education,8,4,4,0,0,0,0,0,0-6,0,<11.5,1,1,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,24
0,Abatchari,Female,38,returnee,Senior-Secondary,10,6,4,2,0,1,1,18,6-23,16.3,>12.5,0,0,0,0,1,0,0,0,0,0,1,1,Acceptable,Little to no hunger,13
0,Shuwari,Male,60,returnee,No-Formal education,10,4,6,3,0,1,2,6,0-6,12,11.5-12.5,1,1,1,1,1,0,0,2,1,0,1,1,Borderline,Moderate Hunger,25
1,Shuwari,Male,30,idp,No-Formal education,12,6,6,3,0,1,2,6,0-6,12.9,>12.5,0,0,1,1,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,43
0,Alkaleri,Male,28,returnee,Senior-Secondary,3,2,1,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,1,1,0,0,0,0,0,Borderline,Little to no hunger,19
1,Alkaleri,Female,45,idp,No-Formal education,5,3,2,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,14
1,Shuwari,Female,35,returnee,No-Formal education,6,2,4,1,0,0,1,48,24-59,17,>12.5,1,1,0,0,0,0,0,0,0,0,1,1,Poor,Little to no hunger,0
1,Damboa-Central,Female,60,idp,No-Formal education,4,3,1,0,0,0,0,0,0-6,0,<11.5,1,0,0,0,0,0,0,1,1,0,1,0,Borderline,Moderate Hunger,4
1,Damboa-Central,Male,55,returnee,No-Formal education,20,7,13,1,0,0,1,59,24-59,14.3,>12.5,1,1,0,0,0,0,0,1,1,0,1,1,Borderline,Moderate Hunger,14
1,Abatchari,Male,40,returnee,No-Formal education,13,4,9,3,1,1,1,37,24-59,17.3,>12.5,0,0,1,1,1,0,0,0,0,0,1,1,Acceptable,Little to no hunger,10
