Scenario,Store1,Store2,IntentionToSwitch12Months,SelectedStore,Network Provider,FTTC/FTTP,age,Network,TariffType,BB_provider,TV_provider,Store1_exp_key,Store2_exp_key,Store1_Plan,Store1_Addons,Tariff,Store1_TariffSpend,Store1_UpfrontSpend,Store1_AddonsSpend,Store1_DataAllowance,Store1_ContractLength,Store1_TotalMonthlySpend,Store1_Mutation_Upfront,Store1_Mutation_StartingPrice,Store1_Mutation_F1 to F2,Store1_Mutation_F2 to F3,Store1_Mutation_F36 to F55,Store1_Mutation_F55 to F150,Store1_Mutation_F150 to F300,Store1_Mutation_F300 to F500,Store1_Mutation_F500 to F900,Store1_Mutation_Complete WiFi,Store1_Mutation_Hybrid Connect,Store1_Mutation_Cyber Indivudual,Store1_Mutation_Cyber Multiple,Store1_Mutation_In Home,Store1_Mutation_WiFi Prioritise,Store1_Mutation_Bundle Better,Store1_Mutation_Bundle Price,Store1_Mutation_Competitor Price,Store2_Plan,Store2_Addons,Store2_TariffSpend,Store2_UpfrontSpend,Store2_AddonsSpend,Store2_DataAllowance,Store2_ContractLength,Store2_TotalMonthlySpend,Store2_Mutation_Upfront,Store2_Mutation_StartingPrice,Store2_Mutation_F1 to F2,Store2_Mutation_F2 to F3,Store2_Mutation_F36 to F55,Store2_Mutation_F55 to F150,Store2_Mutation_F150 to F300,Store2_Mutation_F300 to F500,Store2_Mutation_F500 to F900,Store2_Mutation_Complete WiFi,Store2_Mutation_Hybrid Connect,Store2_Mutation_Cyber Indivudual,Store2_Mutation_Cyber Multiple,Store2_Mutation_In Home,Store2_Mutation_WiFi Prioritise,Store2_Mutation_Bundle Better,Store2_Mutation_Bundle Price,Store2_Mutation_Competitor Price,mobile_provider_years,mobile_provider_months,mobile_plan_years,mobile_plan_months,mobile_contract_length,mobile_contract_expiry,mobile_data_allowance,mobile_data_usage,mobile_airtime_usage,mobile_spend,mobile_beh_socialMedia,mobile_beh_messaging,mobile_beh_blogs,mobile_beh_videos,mobile_beh_movies,mobile_beh_hotspot,mobile_beh_voice_video_chat,mobile_nwp_satisfaction,mobile_handset_make,bb_spend,bb_provider_satisfaction,bb_speed,bb_fibre_available,tech_seg_statement1,tech_seg_statement2,purchase_location_handset,purchase_location_mobileplan,purchase_location_Broadband,purchase_location_Tvsubscription,gender,marital_status,householdage1,householdage2,householdage3,householdage4,householdage5,householdage6,N_bedrooms,currentLocation_Year,currentLocation_Month,working_status,personal_income,house_location,ukregion,ChiefIncomeEarner
0,EE,Virgin,0,EE,Vodafone,FTTP,43,No. 12,No. 1,No. 2,No. 3,EE_NAYAN_4,COMPETITOR_VIRGIN,FULL_FIBRE_500,No. NA,35.99,35.99,9.99,0.00,No. NA,24.00,35.99,1,0,No. NA,No. NA,2,3,0,2,3,1,1,1,1,1,0,1,1,No. NA,PLAN_M50,No. NA,32.00,0.00,0.00,No. NA,18.00,32.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,5,11.00,11.00,1.00,6.00,4.00,No. 3,No. 7,No. 5,No. 4,38.00,No. 5,No. 4,No. 3,No. 2,No. 1,No. 1,No. 2,6.00,No. 1,28.50,5.00,No. 3,4,No. 5,No. 5,No. 2,No. 2,No. 3,No. 3,No. 2,No. 1,No. 0,No. 0,No. 0,No. 1,No. 0,No. 2,3.00,17.00,8.00,No. 1,No. 5,No. 5,No. 9,No. 2
0,EE,Sky,5,Sky,EE,FTTP,47,No. 15,No. 1,No. 6,No. 3,EE_NAYAN_3,COMPETITOR_SKY,FULL_FIBRE_150,"WHOLE_HOME_WIFI,ALL_ROUNDER_BUNDLE,HPP_UNLIM",33.00,28.99,39.99,35.00,No. NA,24.00,63.99,3,1,No. NA,No. NA,2,2,0,2,3,1,1,1,1,1,1,1,0,No. NA,PLAN_ULTRAFAST,"WIFI_GUARANTEE,SKY_TALK_ANYTIME",33.00,0.00,17.00,No. NA,18.00,50.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,3,11.00,0.00,2.00,0.00,4.00,No. 2,No. 7,No. 4,No. 4,50.00,No. 3,No. 6,No. 5,No. 3,No. 1,No. 1,No. 3,7.00,No. 1,20.00,6.00,No. 3,7,No. 6,No. 4,No. 1,No. 1,No. 1,No. 2,No. 2,No. 1,No. 0,No. 0,No. 0,No. 2,No. 0,No. 2,3.00,1.00,10.00,No. 2,No. 6,No. 2,No. 4,No. 4
0,Sky,EE,3,Sky,EE,FTTC,43,No. 15,No. 1,No. 2,No. 3,COMPETITOR_SKY_FTTC,EE_NAYAN_FTTC,PLAN_SUPERFAST,No. NA,28.00,28.00,0.00,0.00,No. NA,18.00,28.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,2,FIBRE_2,TV_ENTERTAINMENT,30.99,49.99,0.00,No. NA,24.00,47.99,2,6,2,3,No. NA,No. NA,No. NA,No. NA,No. NA,0,1,0,1,1,1,1,2,No. NA,6.00,0.00,1.00,6.00,4.00,No. 4,No. 7,No. 4,No. 1,50.00,No. 3,No. 3,No. 4,No. 4,No. 1,No. 2,No. 3,5.00,No. 1,38.00,5.00,No. 3,7,No. 5,No. 5,No. 3,No. 3,No. 3,No. 2,No. 2,No. 1,No. 0,No. 1,No. 1,No. 0,No. 0,No. 2,1.00,5.00,1.00,No. 6,No. 6,No. 3,No. 12,No. 2
0,BT,EE,0,EE,Three,FTTC,25,No. 1,No. 2,No. 7,No. 10,COMPETITOR_BT_FTTC,EE_NAYAN_FTTC,PLAN_FIBRE_ESSENTIAL,No. NA,27.99,31.00,10.00,0.00,No. NA,24.00,42.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,FIBRE_2,TV_SPORT,27.99,59.99,0.00,No. NA,24.00,43.99,0,4,1,2,No. NA,No. NA,No. NA,No. NA,No. NA,0,0,1,1,1,1,2,1,No. NA,3.00,0.00,0.00,2.00,4.00,No. 5,No. 11,No. 3,No. 2,16.00,No. 6,No. 7,No. 5,No. 5,No. 4,No. 2,No. 3,6.00,No. 1,45.00,6.00,No. 7,7,No. 6,No. 5,No. 2,No. 2,No. 2,No. 2,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,4.00,0.00,3.00,No. 1,No. 5,No. 2,No. 7,No. 4
0,Vodafone,EE,1,Vodafone,EE,FTTC,71,No. 15,No. 4,No. 1,No. 5,COMPETITOR_VODAFONE_FTTC,EE_NAYAN_FTTC,PLAN_4,EVENING_WEEKEND,37.00,37.00,0.00,4.00,6000,24.00,41.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,FIBRE_2,"HYBRID_CONNECT,HPP_700_MINS,ALL_ROUNDER_BUNDLE,TV_ENTERTAINMENT",24.99,59.99,25.00,No. NA,24.00,66.99,4,0,2,3,No. NA,No. NA,No. NA,No. NA,No. NA,0,1,1,0,1,0,0,2,No. NA,11.00,6.00,11.00,11.00,1.00,No. 1,No. 1,No. 8,No. 2,10.00,No. 1,No. 3,No. 1,No. 1,No. 1,No. 1,No. 1,5.00,No. 8,28.00,5.00,No. 7,3,No. 7,No. 1,No. 2,No. 3,No. 3,No. 3,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,2.00,32.00,0.00,No. 7,No. 3,No. 5,No. 9,No. 4
2,Vodafone,EE,5,Vodafone,Three,FTTP,26,No. 1,No. 1,No. 3,No. 2,COMPETITOR_VODAFONE,EE_NAYAN_4,PLAN_5,No. NA,19.00,19.00,0.00,0.00,6000,24.00,19.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,6,FULL_FIBRE_150,No. NA,27.99,39.99,0.00,No. NA,24.00,27.99,3,0,No. NA,No. NA,1,3,3,4,1,0,1,0,0,0,0,1,2,No. NA,1.00,8.00,1.00,8.00,4.00,No. 3,No. 11,No. 8,No. 1,50.00,No. 5,No. 6,No. 4,No. 4,No. 1,No. 1,No. 3,5.00,No. 1,50.00,6.00,No. 4,7,No. 5,No. 5,No. 1,No. 1,No. 2,No. 2,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,4.00,2.00,3.00,No. 1,No. 6,No. 1,No. 4,No. 2
1,EE,Sky,6,Sky,Vodafone,FTTP,38,No. 12,No. 1,No. 1,No. 3,EE_NAYAN,COMPETITOR_SKY,FULL_FIBRE_1000,"BEST_BUNDLE,HPP_UNLIM,TV_VIP",45.00,45.99,30.00,34.00,No. NA,24.00,153.99,2,2,No. NA,No. NA,3,0,0,2,3,1,0,1,0,1,1,2,0,No. NA,PLAN_ULTRAFAST_PLUS,"WIFI_GUARANTEE,SKY_TALK_ANYTIME",45.00,0.00,17.00,No. NA,18.00,62.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,2,6.00,0.00,1.00,6.00,4.00,No. 4,No. 11,No. 5,No. 1,56.00,No. 7,No. 8,No. 4,No. 2,No. 2,No. 1,No. 2,2.00,No. 1,54.00,5.00,No. 5,7,No. 6,No. 5,No. 3,No. 3,No. 3,No. 3,No. 2,No. 1,No. 1,No. 1,No. 0,No. 0,No. 0,No. 2,2.00,2.00,3.00,No. 2,No. 6,No. 2,No. 7,No. 2
0,Sky,EE,1,Sky,Vodafone,FTTP,42,No. 12,No. 4,No. 1,No. 3,COMPETITOR_SKY,EE_NAYAN,PLAN_SUPERFAST,SKY_TALK_ANYTIME,31.00,31.00,0.00,12.00,No. NA,18.00,43.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,FULL_FIBRE_36,"WIFI_PRIORITISE,HPP_UNLIM",27.99,29.99,13.00,No. NA,24.00,40.99,4,6,No. NA,No. NA,0,2,3,2,3,1,1,1,1,0,0,2,1,No. NA,11.00,0.00,11.00,0.00,1.00,No. 1,No. 1,No. 1,No. 1,5.00,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,7.00,No. 10,39.00,6.00,No. 1,7,No. 6,No. 5,No. 2,No. 1,No. 3,No. 3,No. 1,No. 2,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,2.00,22.00,6.00,No. 2,No. 2,No. 3,No. 11,No. 5
0,Sky,EE,5,Sky,EE,FTTP,32,No. 15,No. 2,No. 4,No. 20,COMPETITOR_SKY,EE_NAYAN,PLAN_SUPERFAST,No. NA,25.00,25.00,0.00,0.00,No. NA,18.00,25.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,4,FULL_FIBRE_150,No. NA,26.99,19.99,0.00,No. NA,24.00,26.99,5,0,No. NA,No. NA,1,2,2,2,3,1,1,1,0,0,1,0,1,No. NA,11.00,0.00,0.00,6.00,3.00,No. 1,No. 7,No. 2,No. 5,20.00,No. 3,No. 5,No. 6,No. 1,No. 1,No. 1,No. 1,4.00,No. 1,28.00,4.00,No. 2,7,No. 7,No. 3,No. 3,No. 3,No. 2,No. 2,No. 2,No. 2,No. 0,No. 0,No. 0,No. 0,No. 0,No. 1,3.00,1.00,3.00,No. 1,No. 2,No. 3,No. 3,No. 3
0,EE,Virgin,0,Virgin,Other,FTTP,51,No. 17,No. 3,No. 15,No. 3,EE_NAYAN_4,COMPETITOR_VIRGIN,FULL_FIBRE_150,ALL_ROUNDER_BUNDLE,30.00,27.99,9.99,20.00,No. NA,24.00,47.99,2,4,No. NA,No. NA,0,0,2,4,3,0,1,0,1,0,1,2,0,No. NA,PLAN_VOLT_M100,No. NA,30.00,0.00,0.00,No. NA,18.00,30.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,2,7.00,0.00,5.00,0.00,6.00,No. 1,No. 1,No. 1,No. 1,7.00,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,5.00,No. 12,12.00,6.00,No. 7,7,No. 7,No. 1,No. 2,No. 2,No. 2,No. 2,No. 1,No. 1,No. 0,No. 0,No. 0,No. 1,No. 0,No. 2,3.00,20.00,0.00,No. 1,No. 4,No. 3,No. 10,No. 3
1,EE,Virgin,0,EE,Vodafone,FTTP,65,No. 12,No. 1,No. 1,No. 1,EE_NAYAN_3,COMPETITOR_VIRGIN,FULL_FIBRE_55,"WHOLE_HOME_WIFI,ALL_ROUNDER_BUNDLE,TV_ENTERTAINMENT",29.99,29.99,59.99,23.00,No. NA,24.00,69.99,1,4,No. NA,No. NA,3,0,3,1,3,0,0,1,0,0,1,1,0,No. NA,PLAN_VOLT_M200,No. NA,32.00,0.00,0.00,No. NA,18.00,32.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,4,11.00,0.00,1.00,2.00,4.00,No. 4,No. 11,No. 4,No. 2,39.00,No. 3,No. 4,No. 3,No. 4,No. 4,No. 6,No. 6,5.00,No. 5,36.00,6.00,No. 4,4,No. 4,No. 4,No. 2,No. 2,No. 2,No. 2,No. 1,No. 1,No. 0,No. 0,No. 0,No. 0,No. 2,No. 2,2.00,33.00,4.00,No. 1,No. 4,No. 4,No. 8,No. 4
0,EE,Virgin,2,Virgin,Other,FTTP,59,No. 11,No. 1,No. 3,No. 2,EE_NAYAN,COMPETITOR_VIRGIN,FULL_FIBRE_150,"WHOLE_HOME_WIFI,ALL_ROUNDER_BUNDLE,HPP_700_MINS,TV_SPORT",38.00,28.99,39.99,38.00,No. NA,24.00,82.99,6,0,No. NA,No. NA,3,2,2,2,3,1,1,0,0,0,0,2,0,No. NA,PLAN_VOLT_M200,No. NA,38.00,0.00,0.00,No. NA,18.00,38.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,10.00,0.00,1.00,0.00,4.00,No. 4,No. 6,No. 3,No. 1,16.00,No. 5,No. 5,No. 4,No. 1,No. 1,No. 1,No. 1,6.00,No. 1,20.00,5.00,No. 3,7,No. 7,No. 4,No. 2,No. 2,No. 3,No. 3,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,3.00,31.00,6.00,No. 1,No. 5,No. 1,No. 7,No. 4
0,Vodafone,EE,0,Vodafone,EE,FTTP,40,No. 15,No. 1,No. 4,No. 8,COMPETITOR_VODAFONE,EE_NAYAN_4,PLAN_5,No. NA,20.00,20.00,0.00,0.00,6000,24.00,20.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,5,FULL_FIBRE_150,No. NA,35.99,9.99,0.00,No. NA,24.00,35.99,1,8,No. NA,No. NA,2,2,0,1,2,0,0,1,0,0,0,0,2,No. NA,6.00,6.00,1.00,7.00,4.00,No. 3,No. 2,No. 1,No. 5,19.00,No. 4,No. 2,No. 1,No. 1,No. 5,No. 1,No. 1,4.00,No. 3,26.00,7.00,No. 4,7,No. 7,No. 4,No. 1,No. 1,No. 3,No. 2,No. 2,No. 1,No. 0,No. 0,No. 2,No. 1,No. 0,No. 2,2.00,10.00,8.00,No. 2,No. 3,No. 2,No. 11,No. 4
0,EE,Virgin,9,EE,Other,FTTP,72,No. 18,No. 3,No. 5,No. 17,EE_NAYAN,COMPETITOR_VIRGIN,FULL_FIBRE_36,No. NA,23.99,23.99,9.99,0.00,No. NA,24.00,23.99,6,2,No. NA,No. NA,3,0,1,4,2,0,0,1,0,0,1,0,1,No. NA,PLAN_VOLT_M100,No. NA,33.00,0.00,0.00,No. NA,18.00,33.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,1.00,6.00,0.00,6.00,2.00,No. 1,No. 2,No. 1,No. 2,5.00,No. 2,No. 2,No. 1,No. 1,No. 1,No. 3,No. 2,5.00,No. 1,20.00,4.00,No. 1,7,No. 6,No. 5,No. 2,No. 2,No. 2,No. 2,No. 1,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,3.00,42.00,8.00,No. 7,No. 4,No. 1,No. 8,No. 4
0,EE,BT,0,BT,O2,FTTP,38,No. 14,No. 1,No. 2,No. 3,EE_NAYAN_4,COMPETITOR_BT,FULL_FIBRE_150,"WHOLE_HOME_WIFI,ALL_ROUNDER_BUNDLE,TV_SPORT",32.00,35.99,59.99,20.00,No. NA,24.00,71.99,4,8,No. NA,No. NA,1,3,3,4,0,1,1,0,0,1,1,0,2,No. NA,PLAN_FIBRE_100,COMPLETE_WIFI,32.00,9.99,12.00,No. NA,24.00,52.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,6,11.00,0.00,2.00,0.00,4.00,No. 5,No. 3,No. 2,No. 1,30.00,No. 6,No. 4,No. 2,No. 3,No. 1,No. 1,No. 1,5.00,No. 1,80.00,4.00,No. 2,3,No. 7,No. 1,No. 2,No. 2,No. 2,No. 2,No. 2,No. 1,No. 3,No. 0,No. 0,No. 0,No. 0,No. 2,1.00,10.00,0.00,No. 2,No. 6,No. 1,No. 7,No. 2
0,Sky,EE,1,Sky,Vodafone,FTTC,46,No. 12,No. 4,No. 1,No. 1,COMPETITOR_SKY_FTTC,EE_NAYAN_FTTC,PLAN_SUPERFAST,No. NA,22.00,22.00,0.00,0.00,No. NA,18.00,22.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,6,FIBRE_1,No. NA,23.99,39.99,0.00,No. NA,24.00,23.99,0,2,0,1,No. NA,No. NA,No. NA,No. NA,No. NA,0,0,1,0,0,0,0,1,No. NA,2.00,0.00,2.00,0.00,4.00,No. 1,No. 1,No. 1,No. 5,30.00,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,2.00,No. 1,25.00,2.00,No. 1,7,No. 4,No. 4,No. 1,No. 1,No. 1,No. 1,No. 2,No. 4,No. 1,No. 0,No. 0,No. 0,No. 0,No. 1,3.00,6.00,0.00,No. 6,No. 1,No. 3,No. 13,No. 6
0,Vodafone,EE,5,EE,Other,FTTP,41,No. 7,No. 2,No. 4,No. 4,COMPETITOR_VODAFONE,EE_NAYAN_4,PLAN_3,No. NA,28.99,23.00,0.00,0.00,6000,24.00,23.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,FULL_FIBRE_150,HYBRID_CONNECT,28.99,9.99,7.00,No. NA,24.00,35.99,1,1,No. NA,No. NA,1,3,3,2,2,1,1,0,0,0,1,2,0,No. NA,1.00,7.00,1.00,7.00,1.00,No. 1,No. 4,No. 3,No. 2,23.00,No. 4,No. 3,No. 3,No. 3,No. 3,No. 3,No. 3,5.00,No. 5,36.00,5.00,No. 4,4,No. 5,No. 5,No. 2,No. 2,No. 2,No. 2,No. 2,No. 1,No. 0,No. 0,No. 0,No. 1,No. 1,No. 2,2.00,9.00,0.00,No. 1,No. 3,No. 4,No. 11,No. 4
0,EE,Virgin,2,Virgin,Vodafone,FTTP,29,No. 12,No. 2,No. 7,No. 1,EE_NAYAN_4,COMPETITOR_VIRGIN,FULL_FIBRE_150,WHOLE_HOME_WIFI,32.00,32.99,9.99,8.00,No. NA,24.00,40.99,2,5,No. NA,No. NA,1,3,2,2,2,0,0,1,1,1,0,0,0,No. NA,PLAN_VOLT_M200,No. NA,32.00,0.00,0.00,No. NA,18.00,32.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,4,5.00,7.00,4.00,3.00,3.00,No. 3,No. 4,No. 3,No. 1,15.00,No. 4,No. 4,No. 5,No. 5,No. 1,No. 3,No. 3,7.00,No. 1,30.00,6.00,No. 2,3,No. 6,No. 6,No. 1,No. 3,No. 3,No. 3,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,3.00,5.00,4.00,No. 1,No. 7,No. 2,No. 8,No. 3
0,EE,Vodafone,6,Vodafone,O2,FTTP,53,No. 14,No. 1,No. 9,No. 5,EE_NAYAN,COMPETITOR_VODAFONE,FULL_FIBRE_150,"WHOLE_HOME_WIFI,HPP_UNLIM",31.00,26.99,9.99,20.00,No. NA,24.00,46.99,2,1,No. NA,No. NA,2,0,2,3,3,1,1,0,0,1,1,1,0,No. NA,PLAN_7,"SUPER_WIFI_PLUS,ANYTIME_LANDLINE",31.00,0.00,11.00,25000,24.00,42.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,5,6.00,8.00,1.00,8.00,6.00,No. 5,No. 5,No. 4,No. 4,32.00,No. 4,No. 3,No. 4,No. 1,No. 1,No. 1,No. 4,6.00,No. 1,40.00,5.00,No. 3,3,No. 7,No. 5,No. 1,No. 1,No. 2,No. 2,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 3,2.00,26.00,9.00,No. 1,No. 6,No. 4,No. 2,No. 2
0,Virgin,EE,7,Virgin,Sky,FTTP,69,No. 25,No. 3,No. 7,No. 3,COMPETITOR_VIRGIN,EE_NAYAN,PLAN_VOLT_M100,No. NA,27.00,27.00,0.00,0.00,No. NA,18.00,27.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,4,FULL_FIBRE_36,No. NA,23.99,19.99,0.00,No. NA,24.00,23.99,5,2,No. NA,No. NA,3,0,3,4,0,0,1,0,1,1,0,2,1,No. NA,10.00,0.00,11.00,0.00,3.00,No. 1,No. 2,No. 1,No. 1,6.00,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,No. 2,7.00,No. 1,21.50,4.00,No. 3,7,No. 7,No. 1,No. 2,No. 2,No. 1,No. 2,No. 1,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,1.00,22.00,6.00,No. 7,No. 4,No. 3,No. 12,No. 2
1,EE,BT,1,EE,Three,FTTP,58,No. 1,No. 2,No. 3,No. 21,EE_NAYAN_2,COMPETITOR_BT,FULL_FIBRE_150,"WHOLE_HOME_WIFI,ALL_ROUNDER_BUNDLE,HPP_UNLIM,TV_ENTERTAINMENT",33.99,33.99,49.99,40.00,No. NA,24.00,90.99,5,8,No. NA,No. NA,0,2,0,3,No. NA,1,1,1,1,0,0,2,2,No. NA,PLAN_FIBRE_1,No. NA,32.00,0.00,0.00,No. NA,24.00,32.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,2.00,0.00,2.00,0.00,4.00,No. 5,No. 4,No. 2,No. 1,15.00,No. 2,No. 2,No. 1,No. 1,No. 1,No. 2,No. 2,5.00,No. 3,30.00,6.00,No. 4,7,No. 6,No. 6,No. 2,No. 1,No. 2,No. 2,No. 1,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,3.00,1.00,4.00,No. 5,No. 3,No. 2,No. 10,No. 2
0,EE,Virgin,9,EE,EE,FTTC,37,No. 15,No. 1,No. 6,No. 5,EE_NAYAN_FTTC,COMPETITOR_VIRGIN_FTTC,FIBRE_1,No. NA,29.99,29.99,9.99,0.00,No. NA,24.00,29.99,6,8,0,3,No. NA,No. NA,No. NA,No. NA,No. NA,1,1,0,0,0,0,0,0,No. NA,PLAN_GIG1,No. NA,56.00,0.00,0.00,No. NA,18.00,56.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,4,2.00,4.00,2.00,1.00,2.00,No. 2,No. 3,No. 2,No. 1,8.00,No. 7,No. 5,No. 4,No. 4,No. 2,No. 1,No. 3,7.00,No. 10,20.00,6.00,No. 3,3,No. 5,No. 4,No. 2,No. 2,No. 2,No. 2,No. 1,No. 1,No. 0,No. 1,No. 1,No. 0,No. 0,No. 2,1.00,10.00,2.00,No. 1,No. 5,No. 3,No. 10,No. 2
0,EE,BT,10,EE,Three,FTTP,31,No. 1,No. 2,No. 2,No. 3,EE_NAYAN_2,COMPETITOR_BT,FULL_FIBRE_36,"BEST_BUNDLE,HPP_UNLIM,TV_BIG_ENTERTAINMENT",24.99,24.99,39.99,35.00,No. NA,24.00,86.99,6,3,No. NA,No. NA,3,3,3,3,No. NA,0,0,0,1,1,0,1,2,No. NA,PLAN_FIBRE_900,No. NA,60.00,9.99,0.00,No. NA,24.00,60.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,2,1.00,3.00,1.00,0.00,3.00,No. 4,No. 2,No. 1,No. 2,5.00,No. 2,No. 2,No. 4,No. 1,No. 1,No. 1,No. 2,4.00,No. 10,20.00,4.00,No. 2,2,No. 5,No. 5,No. 2,No. 2,No. 2,No. 2,No. 2,No. 2,No. 0,No. 0,No. 0,No. 0,No. 0,No. 5,3.00,17.00,0.00,No. 2,No. 10,No. 1,No. 4,No. 3
1,EE,Vodafone,0,Vodafone,Three,FTTC,30,No. 1,No. 1,No. 3,No. 2,EE_NAYAN_FTTC,COMPETITOR_VODAFONE_FTTC,FIBRE_3,"CYBER_INDIVIDUAL,BEST_BUNDLE,TV_ENTERTAINMENT",22.00,27.99,39.99,29.00,No. NA,24.00,73.99,1,1,0,3,No. NA,No. NA,No. NA,No. NA,No. NA,0,1,1,1,0,1,1,2,No. NA,PLAN_3,No. NA,22.00,0.00,0.00,6000,24.00,22.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,1.00,8.00,1.00,8.00,4.00,No. 3,No. 5,No. 3,No. 1,36.00,No. 8,No. 6,No. 4,No. 4,No. 5,No. 1,No. 1,4.00,No. 10,25.00,4.00,No. 5,7,No. 4,No. 2,No. 2,No. 2,No. 3,No. 3,No. 2,No. 1,No. 1,No. 1,No. 0,No. 0,No. 0,No. 2,2.00,3.00,9.00,No. 1,No. 4,No. 2,No. 10,No. 3
